Cruise,Cycle,Tow,Net,Latitude,Longitude,Time_PST,Night0Day1,minDepth,maxDepth,Class,Abundance (#/m^3),ugcarbon_n,ugcarbon_mean,ugcarbon_mean-1outlier,ugcarbon_mean-2outliers,ugcarbon_median,Carbon_mg_sum,Carbon_mg_sum-1outlier,Carbon_mg_sum-2outliers
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,appendicularia,1.696113,3,9.331380,13.204737,16.002881,10.406594,0.015827,0.014931,0.009048
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,bryozoan_larvae,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,chaetognatha,3.703180,21,43.097454,42.818479,39.394068,33.410638,0.159598,0.158262,0.140037
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,cnidaria,6.812721,44,52.036495,51.970112,51.911759,51.841271,0.354510,0.353691,0.352927
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,copepoda_calanoida,99.081272,215,18.229648,17.636726,17.162155,9.745863,1.806217,1.744976,1.695597
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,copepoda_eucalanids,14.424028,103,687.874682,677.614534,668.327846,583.746048,9.921924,9.678155,9.451053
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,copepoda_harpacticoida,1.837456,4,13.174572,3.760730,6.068997,5.920487,0.024208,0.004784,0.004289
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,copepoda_oithona_like,12.438163,22,3.668464,3.326954,3.079647,3.212217,0.045629,0.039500,0.034823
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,copepoda_others,23.180212,41,5.109966,3.850890,2.964989,1.670682,0.118450,0.087087,0.065376
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,copepoda_poecilostomatoids,71.236749,126,2.421084,2.379928,2.338918,1.758328,0.172470,0.168193,0.163972
P1604,1,1,1,3.303124e+01,1.229335e+02,22-Apr-2016 15:09:00,1,350,399,crustacea_others,0.706714,2,14.637961,72.998734,NaN,0.047768,0.010345,0.010318,NaN
