Cruise,Cycle,Tow,Net,Latitude,Longitude,Time_PST,Night0Day1,minDepth,maxDepth,Class,Abundance (#/m^3),ugcarbon_n,ugcarbon_mean,ugcarbon_mean-1outlier,ugcarbon_mean-2outliers,ugcarbon_median,Carbon_mg_sum,Carbon_mg_sum-1outlier,Carbon_mg_sum-2outliers
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,appendicularia,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,bryozoan_larvae,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,chaetognatha,0.097709,18,410.294234,354.564786,302.173230,64.368637,0.040089,0.034337,0.029002
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,cnidaria,0.019023,3,87.400826,296.583984,253.582985,66.482510,0.001663,0.000513,0.000219
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,copepoda_calanoida,86.434068,458,12.739828,12.655329,12.598097,6.021099,1.101155,1.093633,1.088469
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,copepoda_eucalanids,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,copepoda_harpacticoida,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,copepoda_oithona_like,1.730220,6,3.054888,3.276747,3.160224,3.157422,0.005286,0.004536,0.003282
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,copepoda_others,0.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000
P1706,1,1,1,3.504667e+01,-1.210590e+02,09-Jun-2017 13:16:00,1,349,463,copepoda_poecilostomatoids,19.421530,60,1.945247,1.439106,1.363027,1.191424,0.037780,0.027452,0.025529
